sdnn,rmssd,nn50,pnn50,lf_power,hf_power,lf_hf_ratio,HR
1556101.089246814,821936.3473431356,298,99.66555183946488,95849254208.21317,329485168404.92175,0.2909061268895083,72
211506.0471996553,128566.43653017955,298,99.66555183946488,3859203178.094675,22974867816.996197,0.16797498940297445,83
478740.21670399973,309345.7587367629,298,99.66555183946488,44002388111.43276,202971504803.58972,0.21679096360847663,69
721141.779473095,408661.91028601746,298,99.66555183946488,51971997832.54677,379967189091.3574,0.13678022556850528,75
2100879.741812489,1331347.7217862029,298,99.66555183946488,134120944097.01541,217730115240.6786,0.615996294076078,70
737214.9923904291,367730.7466272283,298,99.66555183946488,3729884447.5376625,81405623553.83684,0.045818510868244115,64
724946.0905550562,427011.3955099088,298,99.66555183946488,92137910996.67729,118859845180.09265,0.7751811459713149,66
3347094.388612296,2080214.4882061812,298,99.66555183946488,326197344047.3317,320339674821.38556,1.0182858062436764,67
3604690.596191571,2156156.9259845,298,99.66555183946488,87030026692.20793,1364639285170.8774,0.06377511452142476,64
1557362.5613748042,942102.482709386,298,99.66555183946488,56149198327.554474,790300668236.2554,0.07104789428163437,67
1906348.803287914,1247984.0846775714,298,99.66555183946488,159587116418.13986,349596920334.74915,0.45648890804109654,65
1086591.24432559,626932.116104265,298,99.66555183946488,88736900342.64697,802769942539.6274,0.11053839417793924,64
3199356.831969104,2243977.382065925,298,99.66555183946488,866703852985.013,471235566419.4733,1.8392157017569235,72
383688.3760855475,266958.1359636658,296,98.99665551839465,56900135840.31207,37663287644.61361,1.5107586033703462,64
763848.2435253564,365230.9637513848,296,98.99665551839465,543714874414.8041,445305549855.1834,1.2209928095251095,67
422502.73703119444,201883.26495434163,298,99.66555183946488,39529890769.53598,185451037591.21594,0.21315540362017554,66
1244758.4522751328,802029.6717914618,298,99.66555183946488,67673799934.53927,278489945150.1387,0.24300266890445604,62
737687.4632480852,414345.44851130655,298,99.66555183946488,300722492128.2378,218487538818.166,1.3763828077101963,63
1610345.9710334581,1159823.8034251148,298,99.66555183946488,162154894896.42865,235047831598.68567,0.6898804119720089,63
1436061.0305167795,908290.055487829,297,99.33110367892976,1174810735500.921,807540131228.7915,1.454801674949916,66
1050481.976892973,698016.2893775115,298,99.66555183946488,396340988425.4323,1254275053969.3704,0.3159920841693715,71
762522.3201722003,463483.08683350595,297,99.33110367892976,142583066594.25092,370084014528.4192,0.3852721571233977,64
88306.99326851893,98525.91243722381,297,99.33110367892976,493506030.9493182,4499109212.468976,0.10968972026320226,68
459980.8566738952,319093.8007363262,298,99.66555183946488,5822600407.283192,8269389570.641475,0.7041148995997197,65
490362.13016735873,316207.01680468617,298,99.66555183946488,9706221166.716494,15437587823.837757,0.6287394946332713,84
95883.27606474672,54117.05256717966,298,99.66555183946488,1685166423.475065,6749450814.248957,0.24967459869734326,62
1778034.7889865013,1176811.171609475,298,99.66555183946488,1113696989744.3284,1186048269401.7964,0.9389980310886001,60
3057223.20295456,2018382.1550038876,298,99.66555183946488,332103633201.59705,623743156089.3564,0.532436516472207,66
4247553.857306689,2818053.947393789,298,99.66555183946488,1440976693926.964,1397915093225.511,1.0308041603600502,63
5747746.2169957515,3954984.163332842,298,99.66555183946488,394104897608.57117,1212135582089.9932,0.32513268600616946,66
1657439.354619346,1045391.4729542899,298,99.66555183946488,163250175425.45578,748123994747.5327,0.21821272485792592,67
3097934.4381595994,2210051.732298641,296,98.99665551839465,894758985239.2465,608692375738.1906,1.469969102461862,68
332949.45327962755,193281.71606452865,298,99.66555183946488,31053022694.67573,23170989186.828285,1.3401681924019042,66
349422.1704471853,221380.09505883607,298,99.66555183946488,8645301542.513283,24633877132.039566,0.3509517197059062,62
572568.3980019764,323040.78562438703,298,99.66555183946488,208265654690.43063,654723029962.0072,0.31809734064573236,64
1620285.8407624601,972854.3626215019,298,99.66555183946488,373696487227.0746,349769066374.5281,1.0684091966752867,60
341034.88741084945,204607.69305736944,298,99.66555183946488,24386687234.419514,43656482197.079025,0.5586040378684287,57
566060.4842702387,359703.9607549421,297,99.33110367892976,72681049180.17497,96151810147.44762,0.7558989172301539,55
1265404.5649751944,793572.849573637,298,99.66555183946488,174942895249.1379,258071318551.34122,0.6778858504353107,58
985043.5590937067,617495.1506363954,298,99.66555183946488,108615547647.83493,159001574996.90686,0.6831098852319412,58
2339837.3230217854,1448716.711287204,298,99.66555183946488,246151494618.0835,527597053521.1335,0.4665520646396552,59
2437661.2738320217,1572126.1432150102,298,99.66555183946488,174809749110.9375,385270774183.0842,0.4537321822076914,60
2709142.645168181,1764099.4582123521,298,99.66555183946488,73329902853.20163,831867795005.3308,0.08815090966796198,61
2546268.0295450906,1716931.4970773417,298,99.66555183946488,540376890203.7774,198684202260.4355,2.719777838680152,59
2204868.5521901688,1397054.3127980118,297,99.33110367892976,226129421869.1188,440321130230.2509,0.5135556900275763,60
1693772.2447354903,1552407.5108655044,297,99.33110367892976,514821719246.9776,669010485472.4353,0.7695271306299868,65
3848328.330177396,4127780.879039693,298,99.66555183946488,178683553288.95297,466451532733.2551,0.3830699242039685,68
729412.0741816113,543594.7091283494,298,99.66555183946488,39499141377.291695,629915147089.0315,0.06270549543033758,57
444782.3358724086,297306.24965822516,298,99.66555183946488,88599477551.22842,196525345841.5544,0.45082977552758213,58
1211022.9100821563,913328.9438595189,298,99.66555183946488,1382709687240.2632,1352445678100.6914,1.022377245629616,58
1415798.9287455103,939746.148671344,298,99.66555183946488,465136720143.0277,1201797163560.4915,0.3870342968400719,55
697811.1809988241,457043.86225243274,298,99.66555183946488,65400437338.618195,189606498885.31613,0.3449271924913068,57
2143663.632573002,1468432.5790425811,298,99.66555183946488,2550979438126.2676,2715612343709.8647,0.9393754023968355,59
898042.2825322466,600074.6043039194,298,99.66555183946488,718661404424.5146,797908239200.8701,0.9006817690518855,58
1103917.089402883,799249.9787128301,298,99.66555183946488,870282027127.9854,432529167248.22107,2.012077087574872,62
3376306.4811770353,2341297.3527028346,298,99.66555183946488,788846746138.4805,1493555768900.46,0.5281669172080673,59
622450.6175831322,353383.7642338209,298,99.66555183946488,63822443659.07871,216347929175.7367,0.294999096604417,59
458802.0865947177,399311.8404110913,297,99.33110367892976,223653648825.33847,103207144731.38292,2.1670364915863285,59
7680697.775794722,8519615.501010798,298,99.66555183946488,2797285630359.212,2243829697948.254,1.2466568353725933,59
1049408.2422000573,1144790.3608160191,298,99.66555183946488,31741680174.402496,43472629992.8687,0.7301532062727615,66
1034051.7747324568,955632.0799816343,297,99.33110367892976,814883003098.2455,459227640519.90576,1.7744641898638578,55
3578573.4394219746,3991518.262029304,298,99.66555183946488,1811220831925.5964,4278971850714.319,0.42328411943706445,57
1084805.4228510535,1260073.8614396192,298,99.66555183946488,345957450439.0441,191567563436.92474,1.8059291679248903,59
1021615.1120622366,1065417.9294945502,298,99.66555183946488,385526329576.60077,501431437463.7429,0.7688515333753422,59
1364237.7212411268,1699193.1686609366,298,99.66555183946488,629499564711.4191,418743902986.2028,1.5033044307564771,61
1840339.1415953503,2276801.9794719424,297,99.33110367892976,708455614181.5637,434356491600.0145,1.6310464512038618,60
1945154.1810270061,2479595.2003567326,298,99.66555183946488,239440955923.06265,159044692889.4865,1.5054947862324468,58
1340044.0230205958,789761.9778200957,298,99.66555183946488,4012245463.1914735,104594590119.40132,0.03835997118599769,75
401157.57924769924,267296.95053365093,298,99.66555183946488,13822646030.885944,11906802517.301125,1.160903274477007,77
206560.97873902722,142684.3438681013,298,99.66555183946488,9036117794.582623,3644237489.6625347,2.4795633709973686,80
1946026.429251526,994393.9777033909,298,99.66555183946488,57906204668.2394,36291753437.19956,1.5955747293511788,72
34876.93382008414,21527.1748015713,296,98.99665551839465,84433549.512516,874205068.8706565,0.09658323031870732,76
596876.8672578051,342449.77100022545,298,99.66555183946488,6274001874.547164,5860951372.448921,1.0704749921727563,73
206260.19114087702,178967.67633514822,297,99.33110367892976,5056707025.91012,1821409810.5027568,2.77625990414224,99
362538.84409074736,245081.9008736133,298,99.66555183946488,62596403733.93615,44919411643.88295,1.3935267948341532,89
1255105.3408702286,1097624.3172772252,297,99.33110367892976,55409303457.07806,67682016285.07531,0.8186709926562349,71
893787.7090753625,560145.4217555976,298,99.66555183946488,53515886528.138824,53553794341.84948,0.9992921544742717,71
126492.24451883044,104516.40678242479,297,99.33110367892976,1027845140.3423376,19013643343.33246,0.05405829497179317,76
961623.9596618238,500378.38026065036,298,99.66555183946488,92856052479.38124,95552255306.65318,0.9717829493545799,71
135564.61076060735,104083.03048693821,298,99.66555183946488,2798987167.6873937,14782706172.30757,0.1893420010559862,71
