ac_dc_ratio,perfusion_index,peak_amplitude_std,valley_amplitude_std,SpO2
-22.825153794997835,-75.17441098589852,282110540.16431826,390835844.6088298,96.0
18.683312446633447,28.614095528676692,70120687.07433003,47492384.13572591,96.0
32.663344185446235,47.5792305303297,132092705.08982003,217585831.93671596,97.0
-3.024399502940306,-17.313527348933295,53357210.50423033,73583658.6346848,98.0
97.1934608905793,515.632867938887,156134077.5369008,149538774.70445213,98.0
36.92360138892508,63.12322442884363,79876962.4598471,129487772.46626554,98.0
34.134389941468555,58.442876637161746,456229454.8323429,454649811.1399585,98.0
10.569545309184308,50.76245805377114,116291470.9807903,147344794.11729068,98.0
-45.3495074389458,-138.33576132580606,360586863.6885756,345866242.6910802,98.0
63.68604893632859,208.52864667762844,554995449.8545095,267547450.2793023,98.0
67.7875244627966,172.12905079206254,249841733.67355695,182810690.6653981,99.0
-26.6865303029621,-80.99581484536695,163989613.12368512,111409811.10372163,99.0
18.52840529633384,36.45369873578446,186245600.93269825,178137194.41646114,99.0
-14.657473412094385,-76.7776941412725,199319499.2429716,178529818.94212556,98.0
-29.01604114509363,-67.38145770445374,11773198.781792497,9852184.011083674,96.0
-55.127286434703116,-193.7460088518967,200706234.47003785,293524435.260345,98.0
-77.60978533115309,-278.3353404027579,117890723.19238348,77357028.88035122,99.0
-3.066879141089797,-15.685228919310836,80834801.02721786,135066151.29593328,97.0
49.29915982109469,97.52260820618623,395092586.61026675,214104970.43060005,97.0
-10.208531484800854,-113.97095615901375,45750710.570026256,45749233.55416628,97.0
-16.04859608238334,-68.4834402567835,77971652.84308235,61133261.21566255,97.0
-17.594188466632144,-58.82336609588341,340991367.046142,177987987.16736525,98.0
-94.63565488828547,-139.3972292196702,110625725.61270884,96202796.45934401,99.0
-39.051722284345644,-93.08627063223368,199275050.1547582,141951966.60800213,99.0
-115.07949957290907,-360.83865319050807,230321673.32429692,348226895.8197274,98.0
18.73601087702652,67.82458562721092,600578089.4260352,618796108.4985694,95.0
-151.6870310005401,-299.6964602605404,235168668.53615516,326129302.5299105,91.0
-11.486558477622568,-40.41150606963971,192369015.1776597,129165310.53917417,91.0
-13.356748975558283,-31.071074278769636,397354469.83030975,441861296.71658343,86.0
-3.157369619466388,-20.07072593239902,31863848.25551467,82472476.59610726,97.0
-78.95393374156123,-152.30138152770917,329493044.3950915,335657093.60395986,99.0
-121.8739297541783,-271.78749496568605,445474944.04800385,424232894.40998924,98.0
60.1288483092871,131.30300268670845,616074266.3059607,288282022.4725124,99.0
180.77957380075088,331.52304611558174,193372951.2786523,245801435.49897346,99.0
