IBI,Amplitude,Slope,Mean,Std,HR
35.166666666666664,689431978.8,2835654.5589999994,-19502920.867333338,456741855.9403629,58
18.8,519250898.84949994,-2233368.7640441665,73541057.766857,203332687.9416772,62
24.818181818181817,655937982.4501001,-383370.3096230002,3059881.5826086616,267739371.32738912,60
22.375,797397535.2348,3550546.728405,-10758943.926704025,469048783.7299237,58
25.4,684923778.714,2386024.682133333,-179412988.91409135,465275703.0021782,57
31.5,884556559.7173,2725189.8678820007,-309683347.36375636,383869411.1324172,58
31.4,550047700.6371,-1893306.0464671666,-41813302.449695334,314779781.5839225,57
32.44444444444444,882199044.602,664303.1437819999,-28481880.89227033,460843384.8795466,57
32.8,496452642.54760003,1502324.2493126665,-148588319.88546136,141511812.1016017,54
22.0,665699182.4980999,-3803725.878318167,-123182560.77582665,359404285.3904213,54
33.333333333333336,698579607.4024999,3484776.781075,-69883082.49194999,340707975.2581588,55
31.333333333333332,1246762544.6176,-2728758.880102667,-97688864.31707469,638873568.3934009,54
0.0,0.0,0.0,0.0,0.0,61
22.666666666666668,521395118.7312,154697.18943699996,81150754.07873704,301848132.6605752,60
35.375,1666742870.7656999,-1421425.4885763342,-203658510.7761517,989146461.1081696,57
21.416666666666668,3257332629.837,20765408.5942875,-787394624.8868699,2052698636.7389493,56
22.166666666666668,609747891.4836,1994950.3689059997,75983358.37864803,340599168.66663086,53
26.636363636363637,1377158804.5166998,-383158.90695849893,-164149399.59398198,1146649534.4732227,56
26.181818181818183,2282072820.8283,3427836.715573502,-131236138.10298304,1232501577.1138072,56
28.8,1762980439.8855,8246198.831722501,-459764473.47601014,937924959.0789005,56
21.0,937894993.254,-7424144.522369999,-455005608.661584,672561045.0899817,56
17.0,967013955.0288,9519514.323648002,-672096874.1256046,1035568784.9142667,54
14.0,406225226.293,2877641.8362845005,325148840.8497813,504019461.567401,57
53.4,27562958.369999997,-43005.79632500001,-7282392.61735,14687115.504589243,57
14.2,795867093.6402,456037.8634296664,39789370.87822131,580394696.2974669,63
36.42857142857143,372603706.52959996,-656057.6026853333,-7261094.833234666,162063320.1806307,63
0.0,0.0,0.0,0.0,0.0,60
17.133333333333333,1641630151.3626,-1061777.0382450009,313004015.14526004,678765016.4117017,60
15.222222222222221,243700940.596,774935.18422,220733326.70031467,129065896.36397666,60
16.071428571428573,296426173.1445,1276060.13241,110473204.78372501,211042630.21450138,55
21.0,845862550.2774999,-1310103.177506666,-215721168.97256333,481163493.60286546,56
28.2,1034603073.8427999,-926668.354770666,-62279403.03386668,523412238.7690243,55
65.0,503402822.2344001,4541045.708275999,-182247697.5169107,400687813.6529707,54
32.22222222222222,878890187.8026,-1314265.198500667,-45762694.021978,371075809.6696263,56
5.967741935483871,2013217602.3820004,2605121.7293546638,45072848.64462798,1009298294.7822744,72
7.0,2795272270.2960005,-17538752.729672,-644053160.0641122,1208979770.869095,55
7.083333333333333,1020965036.6879998,-5576683.049460001,-119329602.41273998,681319278.7445312,56
13.625,2790960815.2704,-10089495.112921333,-673662247.8320681,1303458548.0491428,66
0.0,0.0,0.0,0.0,0.0,66
23.75,1282037577.1932,10531291.73969,-71692448.83690798,890590735.149717,65
21.153846153846153,1390015819.1604,-4122515.358103163,-72168270.58895633,634969519.625482,72
28.3,1221221237.58,5185632.204224999,-246029204.5548,686319635.0522512,62
21.09090909090909,1232933788.7804,-6029191.822335668,34758882.82902664,575729988.4468262,67
21.384615384615383,1388222436.2195,4079019.6004623333,-121360750.61678866,593697756.8220997,63
26.3,1514409798.8992,-5276063.407701332,-241697321.668992,718191211.1542135,60
15.181818181818182,72325980.12149999,-1088536.787919,107537254.38183,211585736.13653082,67
19.571428571428573,405988600.3068,-35766.77317733367,-22885691.34021334,191648106.27979067,69
14.5,149218019.45720002,-294940.2620053335,64198778.888588004,95701512.32530615,71
24.181818181818183,43173063.57,-132750.92127499997,14400009.839179998,31463390.345137727,62
24.363636363636363,498906809.4454,1215318.7904611658,607930.8694836807,251229109.259054,72
11.0,107753560.3916,264433.5167781667,-47038313.532165,38630991.20546956,83
14.25,145384081.68060002,1571648.4805559998,-130939.291335996,190953093.94951874,69
23.0,329221518.2126,-2185609.8151376667,-97052863.39264534,207517882.01416722,75
12.952380952380953,808424142.3720001,3132050.2416280005,153647245.849636,362893717.93886864,70
25.25,331811903.0248,-500561.5974480001,-92701654.64574666,148127069.30632377,64
19.333333333333332,277113961.28639996,-60262.16621600002,-118906339.270754,148602593.48537755,66
20.53846153846154,736351589.4231,2513108.4195594997,-87524951.95918599,404991306.33241683,67
23.545454545454547,968613623.0925,-4968360.660689999,-255947692.782565,451727522.81673396,64
26.857142857142858,500578944.8628,-585401.1784419998,-185420373.027444,267576935.44603187,67
19.357142857142858,604928838.5394001,587797.2348820003,22316787.60943597,353508017.9929033,65
16.88888888888889,607849665.8706,-3823661.8278210005,-8163186.443744023,479102644.7960649,64
23.5,1211396824.435,3470694.9271500017,-303177854.4658553,612514304.1568549,72
13.2,278709542.9838,-2555704.6777715,85900624.323142,269138089.86627513,64
16.75,650332451.7352,772048.1509909995,-96519749.45995197,461115068.5342159,67
7.5,320666183.175,177294.20748333354,-139400917.92684165,223612516.50519302,66
27.75,1034656313.0370001,3859134.8253320004,-272923728.48088807,522564263.8925981,62
11.6,710248795.5219,-528827.8466520008,-99643598.250131,391202078.7287129,63
10.807692307692308,775602528.855,-3345417.1893450003,339119282.99403,376356478.0327874,63
18.2,943773590.7396001,-1941870.9190904994,105556017.119804,444327779.1142838,66
25.75,739941233.9704001,-2724933.7760856673,-136495999.7753103,344561322.2774656,71
9.76923076923077,778032908.776,-5065818.158381,-22971265.19067805,553760540.954914,64
16.38888888888889,34502033.6232,-41672.036658000005,26355638.538942672,20649510.12746255,68
15.555555555555555,221189577.1642,285711.6242,-33224011.062978007,92527796.97306159,65
12.19047619047619,145020100.8207,-305490.1437641668,23575371.550208334,71491074.30942182,84
55.666666666666664,47748369.4668,37954.62766800001,-18213429.551988,22100057.747991197,62
